Rasaratnākara	607.5
Rasasaṃketakalikā	45.1
Rasataraṅgiṇī	27.2
Rasādhyāya	73.2
Rasādhyāyaṭīkā	88.5
Rasārṇava	343.9
Rasārṇavakalpa	49.0
Rasendracintāmaṇi	134.8
Rasendracūḍāmaṇi	187.4
Rasendrasārasaṃgraha	59.8
Rasikapriyā	4.0
Rasikasaṃjīvanī	1.7
Ratnadīpikā	17.6
Ratnaṭīkā	65.6
Rājamārtaṇḍa	8.9
Rājanighaṇṭu	617.2
Rāmāyaṇa	2927.7
Ṛgveda	1735.6
Ṛgvedakhilāni	78.7
Ṛgvedavedāṅgajyotiṣa	1.8
Ṛgvidhāna	9.2
Ṛtusaṃhāra	38.2
Saddharmapuṇḍarīkasūtra	316.9
Saṃvitsiddhi	31.8
Saṅghabhedavastu	70.7
Sarvadarśanasaṃgraha	11.6
Saundarānanda	183.1
Sāmavidhānabrāhmaṇa	52.8
Sāṃkhyakārikā	12.1
Sāṃkhyakārikābhāṣya	122.6
Sāṃkhyatattvakaumudī	65.7
Sātvatatantra	116.8
Skandapurāṇa (Revākhaṇḍa)	1591.6
Skandapurāṇa	168.1
Smaradīpikā	9.5
Spandakārikā	9.2
Spandakārikānirṇaya	109.1
Sphuṭārthāvyākhyā	4.3
Suśrutasaṃhitā	1517.2
Sūryasiddhānta	21.6
Sūryaśataka	5.3
Sūryaśatakaṭīkā	36.4
Śatakatraya	77.1
Śatapathabrāhmaṇa	993.7
Śāktavijñāna	4.5
Śāṅkhāyanagṛhyasūtra	97.5
Śāṅkhāyanaśrautasūtra	180.7
Śāṅkhāyanāraṇyaka	138.3
Śārṅgadharasaṃhitā	67.1
Śārṅgadharasaṃhitādīpikā	193.9
Śikṣāsamuccaya	8.3
Śira'upaniṣad	13.5
Śivapurāṇa	9.4
Śivasūtra	3.8
Śivasūtravārtika	69.3
Śukasaptati	93.8
Śvetāśvataropaniṣad	21.3
Śyainikaśāstra	62.4
Ṣaḍviṃśabrāhmaṇa	28.6
Taittirīyabrāhmaṇa	186.4
Taittirīyasaṃhitā	549.2
Taittirīyāraṇyaka	78.5
Taittirīyopaniṣad	27.9
Tantrasāra	125.0
Tantrākhyāyikā	84.2
Tantrāloka	383.6
Tarkasaṃgraha	23.9
Tattvavaiśāradī	2.2
Toḍalatantra	79.8
Trikāṇḍaśeṣa	12.0
Ṭikanikayātrā	18.7
Uḍḍāmareśvaratantra	111.9
Vaikhānasadharmasūtra	44.1
Vaikhānasagṛhyasūtra	76.4
Vaikhānasaśrautasūtra	62.0
Vaiśeṣikasūtra	25.3
Vaiśeṣikasūtravṛtti	105.9
Vaitānasūtra	105.1
Varāhapurāṇa	6.4
Vasiṣṭhadharmasūtra	106.3
Vājasaneyisaṃhitā (Mādhyandina)	167.3
Vārāhagṛhyasūtra	51.6
Vārāhaśrautasūtra	296.5
Vātūlanāthasūtras	0.9
Vātūlanāthasūtravṛtti	19.6
Vetālapañcaviṃśatikā	8.6
Viṃśatikākārikā	3.3
Viṃśatikāvṛtti	22.3
Viṣṇupurāṇa	920.6
Viṣṇusmṛti	220.9
Vṛddhayamasmṛti	5.9
Yājñavalkyasmṛti	154.8
Yogaratnākara	67.7
Yogasūtra	12.4
Yogasūtrabhāṣya	110.3
